model,chatok_quality,family,size_gb,params_b,bracket,is_moe
olmo2:7b,2.515,olmo,,,4-5GB,
opencoder:1.5b,1.535,opencoder,,,1-2B,
phi3.5:3.8b,2.395,phi3.5,4.04,3.8,3-4B,False
phi3.5:3.8b-mini-instruct-q8_0,2.565,phi3.5,5.93,3.8,3-4B,False
phi3:3.8b,2.11,phi3,4.04,3.8,3-4B,False
phi3:3.8b-mini-128k-instruct-q8_0,2.33,phi3,5.93,3.8,3-4B,False
phi3:mini,2.18,,,,,
phi3:mini-128k,2.16,,,,,
phi3:mini-4k,2.255,,,,,
phi4-mini,2.46,phi4-mini,,3.8,3-4B,False
phi4-mini-reasoning,2.46,phi4-mini-reasoning,,3.8,3-4B,False
qwen2-math:1.5b,1.28,qwen,,,1-2B,
qwen2.5-coder:0.5b,1.57,,,,,
qwen2.5-coder:1.5b,1.955,qwen2.5-coder,1.25,1.5,1-2B,False
qwen2.5-coder:1.5b-instruct-q8_0,1.92,qwen2.5-coder,1.91,1.5,1-2B,False
qwen2.5-coder:3b,2.425,qwen2.5-coder,2.26,3.1,2-3B,False
qwen2.5-coder:3b-instruct-q4_K_M,2.45,qwen2.5-coder,2.26,3.1,2-3B,False
qwen2.5-coder:3b-instruct-q8_0,2.66,qwen2.5-coder,3.62,3.1,2-3B,False
qwen2.5:0.5b,1.26,qwen2.5,0.53,0.49402999999999997,0-1B,False
qwen2.5:0.5b-instruct-q4_K_M,1.265,qwen2.5,0.53,0.49402999999999997,0-1B,False
qwen2.5:0.5b-instruct-q8_0,1.325,qwen2.5,0.67,0.49402999999999997,0-1B,False
qwen2.5:1.5b,1.845,qwen2.5,1.25,1.5,1-2B,False
qwen2.5:1.5b-instruct-q4_K_M,1.855,qwen2.5,1.25,1.5,1-2B,False
qwen2.5:1.5b-instruct-q8_0,1.96,qwen2.5,1.91,1.5,1-2B,False
qwen2.5:3b,2.485,qwen2.5,2.26,3.1,2-3B,False
qwen2.5:3b-instruct-q4_K_M,2.52,qwen2.5,2.26,3.1,2-3B,False
qwen2.5:3b-instruct-q8_0,2.67,qwen2.5,3.62,3.1,2-3B,False
qwen2.5:7b,3.08,qwen2.5,5.22,7.6,4-5GB,False
qwen2:0.5b-instruct-q8_0,1.34,qwen2,0.67,0.49402999999999997,0-1B,False
qwen2:1.5b,1.595,qwen2,1.2,1.5,1-2B,False
qwen2:1.5b-instruct-q8_0,1.705,qwen2,1.91,1.5,1-2B,False
qwen3.5:2b,2.28,,,,,
qwen3:0.6b,1.775,qwen3,1.09,0.75163,0-1B,False
qwen3:0.6b-fp16,1.86,qwen3,2.07,0.75163,0-1B,False
qwen3:0.6b-q8_0,2.01,qwen3,1.4,0.75163,0-1B,False
qwen3:1.7b,2.63,qwen3,1.97,2.0,1-2B,False
qwen3:1.7b-fp16,2.82,qwen3,4.68,2.0,1-2B,False
qwen3:1.7b-q8_0,2.75,qwen3,2.83,2.0,1-2B,False
qwen3:4b,2.8,qwen3,3.32,4.0,3-4B,False
qwen3:4b-instruct-2507-q4_K_M,3.36,qwen3,3.32,4.0,3-4B,False
qwen3:4b-instruct-2507-q8_0,3.59,qwen3,5.1,4.0,4-5GB,False
qwen3:4b-q8_0,3.4,qwen3,5.19,4.0,3-4B,False
qwen3:4b-thinking-2507-q4_K_M,2.865,qwen,,,3-4B,
qwen3:4b-thinking-2507-q8_0,3.035,qwen,,,3-4B,
qwen3:8b,3.51,qwen,,,4-5GB,
sailor2:1b,1.22,sailor,,,1-2B,
smallthinker:3b-preview-q4_K_M,2.47,smallthinker,,,3-4B,
smollm2:1.7b,1.835,smollm2,2.82,1.7,1-2B,False
smollm2:1.7b-instruct-q8_0,1.85,smollm2,2.82,1.7,1-2B,False
smollm2:135m,1.095,smollm2,0.41,0.13452,0-1B,False
smollm2:135m-instruct-q8_0,1.095,smollm2,0.29,0.13452,0-1B,False
smollm2:360m,1.345,smollm2,0.96,0.36182,0-1B,False
smollm2:360m-instruct-q8_0,1.265,smollm2,0.62,0.36182,0-1B,False
smollm:1.7b,1.215,smollm,1.27,1.7,1-2B,False
smollm:360m,1.065,smollm,0.3,0.36182,0-1B,False
stablelm2:1.6b,1.385,stablelm2,1.46,2.0,1-2B,False
stablelm2:1.6b-chat,1.38,stablelm2,1.46,2.0,1-2B,False
stablelm2:1.6b-zephyr,1.415,stablelm2,1.46,2.0,1-2B,False
starcoder2:3b,1.02,starcoder,,,2-3B,
starcoder2:3b-q6_K,1.105,starcoder,,,3-4B,
starcoder2:3b-q8_0,1.055,starcoder,,,3-4B,
tinyllama:1.1b,1.285,tinyllama,0.71,1.0,0-1B,False
tinyllama:1.1b-chat-v1-q8_0,1.41,tinyllama,1.24,1.0,0-1B,False
yi-coder:1.5b,1.58,yi,,,1-2B,
