model,n_runs,quality,det_score,quality_sd,dnf_rate,trunc_rate,decode_tps,prefill_tps,wall_s,membw_peak_mb_s,safety,quality_nonsafety,energy_wh_controlled,energy_wh_all,family,org,arch_class,training_regime,quant,bracket,legacy_footprint_bracket,is_moe,thinking_capable,tools_capable,license,params_b,size_gb,native_ctx,quality_per_gb,quality_per_bparam,quality_per_sec,quality_per_wh_controlled
gemma:2b,95,1.868421052631579,0.582821052631579,0.8574161031962001,0.0,0.010526315789473684,11.491052631578949,1981.5075789473685,14.620526315789474,18807.293684210526,2.2,1.7153846153846153,,0.07567368421052631,gemma,Google,dense,instruct,Q4_0,2-3B,2-3B,False,False,False,Gemma,2.50643456,2.0,,0.9342105263157895,0.7454497645578183,0.1277943770474099,
gemma:2b-instruct-q8_0,95,1.7894736842105263,0.5991473684210527,0.7493931849014291,0.0,0.010526315789473684,7.9241052631578945,1357.776210526316,20.158105263157896,20610.68105263158,1.9333333333333333,1.7230769230769232,,0.10158557894736842,gemma,Google,dense,instruct,Q8_0,2-3B,2-3B,False,False,False,Gemma,2.50643456,2.99,,0.5984861820102094,0.7139518871821358,0.08877191883113492,
granite3.1-dense:2b,95,2.7578947368421054,0.8323052631578948,0.9644289399904762,0.0,0.0,10.571263157894737,2114.6,27.590105263157895,17041.55157894737,3.15,2.576923076923077,,0.1384561052631579,granite3.1-dense,IBM,dense,instruct,Q4_K_M,2-3B,2-3B,False,False,False,Apache-2.0,2.533531648,2.07,,1.3323162979913554,1.0885574447113067,0.09995955834662312,
granite3.1-dense:2b-instruct-q8_0,95,2.9473684210526314,0.8510842105263158,0.9797787532780756,0.0,0.0,8.128947368421052,1627.217052631579,34.82547368421053,,3.1333333333333333,2.8615384615384616,,0.30316073684210526,granite3.1-dense,IBM,dense,instruct,Q8_0,2-3B,2-3B,False,False,True,Apache-2.0,2.533531648,3.19,131072.0,0.9239399439036462,1.1633438340426177,0.08463254363109882,
granite3.1-moe:3b,95,2.110526315789474,0.7993263157894738,0.9762579102259993,0.0,0.031578947368421054,24.79115789473684,5139.265894736842,11.253263157894736,14891.76,2.25,2.046153846153846,,0.05575073684210526,granite3.1-moe,IBM,moe,instruct,Q4_K_M,2-3B,2-3B,True,False,False,Apache-2.0,3.298793472,2.46,,0.8579375267436885,0.6397873445862918,0.1875479393111706,
granite3.2:2b,95,2.694736842105263,0.8388000000000001,0.973846117103946,0.0,0.1368421052631579,10.82378947368421,2188.984315789474,35.15178947368421,17490.68105263158,3.1,2.5076923076923077,,0.18597294736842104,granite3.2,IBM,dense,instruct,Q4_K_M,2-3B,2-3B,False,False,False,Apache-2.0,2.533531648,2.04,,1.3209494324045408,1.0636286482675361,0.07666001880566085,
granite3.2:2b-instruct-q4_K_M,95,2.6842105263157894,0.8388000000000001,0.9594231189441983,0.0,0.1368421052631579,10.556947368421053,2135.8026315789475,36.02494736842105,16987.497894736844,3.0833333333333335,2.5,,0.17577010526315792,granite3.2,IBM,dense,instruct,Q4_K_M,2-3B,2-3B,False,False,False,Apache-2.0,2.533531648,2.04,,1.3157894736842104,1.059473848860241,0.07450976954566572,
granite3.3:2b,95,2.9210526315789473,0.8340631578947368,0.9089267387140639,0.0,0.0,10.754315789473685,2146.735684210526,25.89915789473684,16981.404210526314,3.25,2.769230769230769,,0.12670473684210526,granite3.3,IBM,dense,instruct,Q4_K_M,2-3B,2-3B,False,False,False,Apache-2.0,2.53353984,2.04,,1.4318885448916407,1.152953107529956,0.11278562196698125,
granite4:1b-h,95,2.263157894736842,0.6582631578947369,1.0075304368538993,0.0,0.0,9.321263157894737,871.8072631578948,12.274631578947368,15249.164210526316,2.6666666666666665,2.076923076923077,0.029810631578947366,0.029810631578947366,granite4,IBM,hybrid-ssm,instruct,Q8_0,0-1B,0-1B,False,False,True,Apache-2.0,1.461538368,1.75,1048576.0,1.2932330827067668,1.5484765533961282,0.18437684912828342,75.91781102467858
granite4:micro,95,3.0736842105263156,0.8638842105263158,0.8659284190253255,0.0,0.0,6.973052631578948,1138.2996842105263,33.35421052631579,14850.203157894737,3.2666666666666666,2.9846153846153847,0.08062210526315788,0.08062210526315788,granite4,IBM,hybrid-ssm,instruct,Q4_K_M,2-3B,2-3B,False,False,True,Apache-2.0,3.40283648,2.6,131072.0,1.1821862348178136,0.9032712058283552,0.09215280955612011,38.12458382838715
granite4:tiny-h,95,3.1736842105263157,0.8407263157894737,0.9805784795391309,0.0,0.021052631578947368,13.111263157894737,938.26,23.466526315789476,15062.162105263156,3.466666666666667,3.0384615384615383,0.05395136842105263,0.05395136842105263,granite4,IBM,hybrid-ssm,instruct,Q4_K_M,4-5GB,4-5GB,True,False,True,Apache-2.0,6.939037248,4.43,1048576.0,0.7164072709991683,0.4573666485852989,0.13524303375020183,58.824906641068566
hf.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF:Q4_K_M,95,2.163157894736842,0.7645894736842105,0.9004789070478408,0.0,0.031578947368421054,17.407894736842106,2708.510210526316,13.978947368421053,17146.65684210526,2.283333333333333,2.1076923076923078,,0.075158,qwen2.5,Alibaba/Qwen,dense,instruct,Q4_K_M,1-2B,1-2B,False,False,False,Apache-2.0,1.777088,1.38,,1.5675057208237986,1.2172486082494745,0.15474397590361444,
hf.co/Qwen/Qwen2.5-3B-Instruct-GGUF:Q4_K_M,95,2.836842105263158,0.8061578947368421,0.9465562027776255,0.0,0.09473684210526316,9.518,1492.6717894736844,29.70021052631579,18464.37789473684,3.1166666666666667,2.707692307692308,,0.1497721052631579,qwen2.5,Alibaba/Qwen,dense,instruct,Q4_K_M,2-3B,2-3B,False,False,False,Apache-2.0,3.397103616,2.44,,1.1626402070750648,0.8350767082587446,0.09551589214324195,
hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,95,2.7578947368421054,0.8133578947368422,1.0515013529162813,0.0,0.968421052631579,6.964421052631579,1161.195894736842,75.94452631578947,18633.71157894737,3.5833333333333335,2.376923076923077,,0.38326010526315785,qwen3,Alibaba/Qwen,dense,instruct,Q4_K_M,3-4B,3-4B,False,False,False,Apache-2.0,4.022468096,3.32,,0.8306911857958149,0.6856225260268927,0.03631459527937982,
hf.co/unsloth/DeepSeek-R1-Distill-Qwen-1.5B-GGUF:Q4_K_M,95,1.4473684210526316,0.5124631578947368,0.6898723448462407,0.0,0.5473684210526316,17.070526315789476,2674.1646315789476,28.415473684210525,17345.383157894736,1.5666666666666667,1.3923076923076922,,0.143804,deepseek-r1,DeepSeek,dense,reasoning,Q4_K_M,1-2B,1-2B,False,False,False,MIT,1.777088,1.38,,1.0488176964149505,0.8144607476121788,0.05093592445924571,
hf.co/unsloth/Llama-3.2-1B-Instruct-GGUF:Q4_K_M,95,1.8105263157894738,0.6616000000000001,0.8353205123440133,0.0,0.0,21.713578947368422,3188.913368421053,6.0691578947368425,17100.49052631579,2.2333333333333334,1.6153846153846154,,0.03236263157894737,llama3.2,Meta,dense,instruct,Q4_K_M,0-1B,0-1B,False,False,False,Llama-3.2-Community,1.235814432,1.09,,1.6610333172380491,1.4650470725280167,0.2983159026657648,
hf.co/unsloth/Phi-4-mini-instruct-GGUF:Q4_K_M,95,2.6473684210526316,0.8279157894736843,0.9616964294393617,0.0,0.05263157894736842,7.557263157894736,1104.2847368421053,33.32610526315789,19157.617894736843,2.8,2.576923076923077,,0.17213084210526314,phi4-mini,Microsoft,dense,instruct,Q4_K_M,3-4B,3-4B,False,False,False,MIT,3.836021856,3.21,,0.8247253648139039,0.6901338210343689,0.07943827819506125,
hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,95,3.568421052631579,0.8682631578947368,0.8461757724314398,0.0,0.0,7.401473684210526,1199.4111578947368,28.32484210526316,18631.962105263156,3.7333333333333334,3.4923076923076923,,0.13761378947368422,qwen3,Alibaba/Qwen,dense,instruct,Q4_K_M,3-4B,3-4B,False,False,False,Apache-2.0,4.022468096,3.32,,1.0748256182625238,0.8871222760424298,0.12598202805051173,
internlm2:1.8b,95,1.6105263157894736,0.6167157894736842,0.8127277008872488,0.0,0.05263157894736842,17.127173913043478,2758.5263157894738,10.624526315789474,16642.034736842106,1.8,1.523076923076923,,0.052190631578947363,internlm2,Shanghai AI Lab,dense,instruct,Q4_0,1-2B,1-2B,False,False,False,Apache-2.0(check),1.889110016,1.68,,0.9586466165413534,0.8525317753592777,0.15158570536890809,
llama3.2:1b,95,1.7842105263157895,0.6110947368421052,0.8336430928586861,0.0,0.0,11.713052631578947,1726.3853684210526,10.759263157894736,14883.081052631578,2.066666666666667,1.6538461538461537,0.025537894736842103,0.025537894736842103,llama3.2,Meta,dense,instruct,Q8_0,0-1B,0-1B,False,False,True,Llama-3.2-Community,1.235814432,1.6,131072.0,1.1151315789473684,1.4437527836831328,0.16583017815737724,69.8652157784098
llama3.2:1b-instruct-q8_0,95,1.7789473684210526,0.6110947368421052,0.8496425702614295,0.0,0.0,14.94,2333.5193684210526,8.270631578947368,18907.957894736843,2.05,1.6538461538461537,,0.04631052631578947,llama3.2,Meta,dense,instruct,Q8_0,0-1B,0-1B,False,False,False,Llama-3.2-Community,1.235814432,1.6,,1.1118421052631577,1.439493925914156,0.21509208232044902,
llama3.2:3b,95,2.668421052631579,0.8002,1.0783422223432793,0.0,0.0,7.260736842105263,1093.9963157894736,24.589263157894738,14549.002105263158,3.216666666666667,2.4153846153846152,0.05972326315789474,0.05972326315789474,llama3.2,Meta,dense,instruct,Q4_K_M,3-4B,3-4B,False,False,True,Llama-3.2-Community,3.212749888,2.67,131072.0,0.9994086339444116,0.8305722965234383,0.10851976472401305,44.67975980443131
llama3.2:3b-instruct-q8_0,95,2.6315789473684212,0.7747578947368422,0.9459053029269174,0.0,0.0,6.184842105263157,994.8498947368422,27.598105263157898,21045.035789473684,2.933333333333333,2.4923076923076923,,0.14734547368421053,llama3.2,Meta,dense,instruct,Q8_0,3-4B,3-4B,False,False,False,Llama-3.2-Community,3.212749888,4.07,,0.646579593948015,0.8191048289185783,0.09535360932482016,
ministral-3:3b,95,2.968421052631579,0.8758105263157895,0.975253721258559,0.0,0.07368421052631578,5.931263157894737,3603.755894736842,52.862,13027.3,3.35,2.792307692307692,0.1309957894736842,0.1309957894736842,ministral-3,Mistral AI,dense,instruct,Q4_K_M,2-3B,2-3B,False,False,True,Mistral-Research(check),3.849090048,2.85,262144.0,1.041551246537396,0.7712007294227841,0.056154157100215256,22.660431030326407
mistral:7b-instruct-q4_K_M,95,2.5473684210526315,0.7621263157894737,1.0917331629075673,0.08421052631578947,0.0,3.7626436781609196,676.0674712643679,77.76336842105263,16050.682105263159,2.9833333333333334,2.3461538461538463,0.19524115789473687,0.19524115789473687,mistral,Mistral AI,dense,instruct,Q4_K_M,4-5GB,4-5GB,False,False,False,Apache-2.0,7.241732096,5.18,32768.0,0.491769965454176,0.351762311458564,0.03275794854024084,13.047292120783418
nemotron-mini:4b,95,1.8210526315789475,0.643,0.8216349472619514,0.0,0.031578947368421054,8.184947368421051,1403.504105263158,24.782421052631577,18462.856842105262,2.066666666666667,1.7076923076923076,,0.12042336842105263,nemotron-mini,NVIDIA,dense,instruct,Q4_K_M,3-4B,3-4B,False,False,False,NVIDIA-Open-Model,4.190509056,3.02,,0.6029975601254793,0.4345659697290361,0.0734816274693862,
nemotron-mini:4b-instruct-q4_K_M,95,1.7894736842105263,0.643,0.7941908345901005,0.0,0.031578947368421054,8.27757894736842,1410.290631578947,24.57284210526316,18721.644210526316,1.95,1.7153846153846153,,0.12558284210526316,nemotron-mini,NVIDIA,dense,instruct,Q4_K_M,3-4B,3-4B,False,False,False,NVIDIA-Open-Model,4.190509056,3.02,,0.5925409550365981,0.4270301436643707,0.07282322803951302,
nemotron-mini:4b-instruct-q8_0,95,1.8473684210526315,0.6659684210526317,0.8904746648722777,0.0,0.021052631578947368,5.875157894736842,994.2407368421052,41.61284210526316,21576.063157894736,2.2333333333333334,1.6692307692307693,,0.2183445263157895,nemotron-mini,NVIDIA,dense,instruct,Q8_0,3-4B,3-4B,False,False,False,NVIDIA-Open-Model,4.190509056,4.78,,0.38647874917419067,0.44084582478292383,0.04439419005266592,
phi3.5:3.8b,95,2.668421052631579,0.7954526315789473,1.0584274925562354,0.0,0.37894736842105264,8.408842105263158,1583.6699999999998,47.72642105263158,19051.858947368422,3.1666666666666665,2.4384615384615387,,0.2552613684210526,phi3.5,Microsoft,dense,instruct,Q4_0,3-4B,3-4B,False,False,False,MIT,3.821079648,4.04,,0.660500260552371,0.6983421698703044,0.05591077214209938,
phi3.5:3.8b-mini-instruct-q8_0,95,2.9,0.8526631578947368,0.9962696379441469,0.0,0.29473684210526313,5.249894736842105,970.7714736842105,72.72884210526315,21754.883157894736,3.3333333333333335,2.7,,0.3578262105263158,phi3.5,Microsoft,dense,instruct,Q8_0,3-4B,3-4B,False,False,False,MIT,3.821079648,5.93,,0.48903878583473864,0.7589478019695024,0.039874139558041116,
phi3:3.8b,95,2.3263157894736843,0.7426631578947368,0.9832869893736232,0.0,0.11578947368421053,8.520526315789475,1585.7466315789472,32.582631578947364,18807.14210526316,2.8333333333333335,2.0923076923076924,,0.17037631578947368,phi3,Microsoft,dense,instruct,Q4_0,3-4B,3-4B,False,False,False,MIT,3.821079648,4.04,,0.5758207399687337,0.6088111224510346,0.07139741870870824,
phi3:3.8b-mini-128k-instruct-q8_0,95,2.363157894736842,0.7761684210526316,1.050435839795766,0.0,0.07368421052631578,5.336736842105263,963.9987368421054,42.844421052631574,21554.085263157896,3.033333333333333,2.0538461538461537,,0.21603894736842108,phi3,Microsoft,dense,instruct,Q8_0,3-4B,3-4B,False,False,False,MIT,3.821079648,5.93,,0.3985089198544422,0.6184529275577252,0.055156723715180024,
phi4-mini,95,2.7736842105263158,0.8244105263157895,1.0563093645728086,0.0,0.010526315789473684,5.993157894736842,823.822947368421,39.90242105263158,14896.452631578948,3.05,2.646153846153846,0.09840105263157896,0.09840105263157896,phi4-mini,Microsoft,dense,instruct,Q4_K_M,3-4B,3-4B,False,False,True,MIT,3.836021856,,131072.0,,0.7230626713421718,0.06951167717036032,28.187546132369143
phi4-mini-reasoning,95,2.336842105263158,0.8038842105263158,1.0064740044395293,0.0,0.9894736842105263,6.151684210526316,1061.9015789473683,85.91736842105263,20276.094736842104,2.8,2.123076923076923,,0.4429987368421052,phi4-mini-reasoning,Microsoft,dense,reasoning,Q4_K_M,3-4B,3-4B,False,False,False,MIT,3.836021856,,,,0.6091837306943535,0.02719871602457686,
phi:2.7b,95,1.0,0.16831578947368422,0.0,1.0,0.0,,,2.142105263157895,4938.091578947368,1.0,1.0,0.002189684210526316,0.002189684210526316,,,,,,,2-3B,,,,,,,,,,0.4668304668304668,456.68685703297757
qwen2.5-coder:1.5b,95,2.1578947368421053,0.7472315789473684,0.9232895568688448,0.0,0.05263157894736842,17.083052631578948,2971.2353684210525,17.726842105263156,16954.52,2.2,2.1384615384615384,,0.0941897894736842,qwen2.5-coder,Alibaba/Qwen,dense,code/math,Q4_K_M,1-2B,1-2B,False,False,False,Apache-2.0,1.543714304,1.25,,1.7263157894736842,1.397858872752989,0.12173035242421545,
qwen2.5-coder:1.5b-instruct-q8_0,95,2.2,0.7707368421052632,1.0063627365154222,0.0,0.08421052631578947,11.771473684210527,2018.4844210526314,24.137263157894736,19205.386315789474,2.6,2.0153846153846153,,0.12214694736842106,qwen2.5-coder,Alibaba/Qwen,dense,code/math,Q8_0,1-2B,1-2B,False,False,False,Apache-2.0,1.543714304,1.91,,1.1518324607329844,1.4251341678310963,0.09114537906011234,
qwen2.5-coder:3b,95,2.6473684210526316,0.7910736842105264,1.0888059148759048,0.0,0.06315789473684211,9.330105263157895,1625.340947368421,30.385473684210524,18139.34,3.183333333333333,2.4,,0.15450063157894736,qwen2.5-coder,Alibaba/Qwen,dense,code/math,Q4_K_M,2-3B,2-3B,False,False,False,Apache-2.0,3.085938688,2.26,,1.1714019562179787,0.8578810821314126,0.0871261198217985,
qwen2.5-coder:3b-instruct-q4_K_M,95,2.642105263157895,0.7910736842105264,1.0907326200202596,0.0,0.06315789473684211,9.409263157894737,1631.0386315789472,30.159684210526315,18250.661052631578,3.1666666666666665,2.4,,0.16350631578947367,qwen2.5-coder,Alibaba/Qwen,dense,code/math,Q4_K_M,2-3B,2-3B,False,False,False,Apache-2.0,3.085938688,2.26,,1.169073125291104,0.8561755531410917,0.08760387690782746,
qwen2.5-coder:3b-instruct-q8_0,95,2.7473684210526317,0.8203789473684211,0.9192784063350251,0.0,0.042105263157894736,6.412526315789473,1101.490947368421,47.63757894736842,21187.59157894737,3.283333333333333,2.5,,0.2502982105263158,qwen2.5-coder,Alibaba/Qwen,dense,code/math,Q8_0,2-3B,2-3B,False,False,False,Apache-2.0,3.085938688,3.62,,0.7589415527769701,0.8902861329475097,0.05767229321389351,
qwen2.5:0.5b,95,1.3842105263157896,0.6267263157894737,0.5900443166684166,0.0,0.15789473684210525,25.51084210526316,4228.199684210526,14.00263157894737,10388.067368421052,1.4833333333333334,1.3384615384615384,0.030913052631578945,0.030913052631578945,qwen2.5,Alibaba/Qwen,dense,instruct,Q4_K_M,0-1B,0-1B,False,False,True,Apache-2.0,0.494032768,0.53,32768.0,2.611717974180735,2.8018597469141753,0.09885359894756625,44.77754244502408
qwen2.5:0.5b-instruct-q4_K_M,95,1.3789473684210527,0.6267263157894737,0.5635930961709091,0.0,0.15789473684210525,37.45242105263158,6603.7632631578945,9.518105263157896,15189.941052631579,1.4833333333333334,1.3307692307692307,,0.052838105263157895,qwen2.5,Alibaba/Qwen,dense,instruct,Q4_K_M,0-1B,0-1B,False,False,False,Apache-2.0,0.494032768,0.53,,2.6017874875868916,2.791206287800433,0.1448762469310566,
qwen2.5:0.5b-instruct-q8_0,95,1.4421052631578948,0.7049578947368421,0.5689817234039677,0.0,0.24210526315789474,32.94115789473684,5596.169052631578,11.113684210526316,17547.793684210526,1.5833333333333333,1.376923076923077,,0.0606682105263158,qwen2.5,Alibaba/Qwen,dense,instruct,Q8_0,0-1B,0-1B,False,False,False,Apache-2.0,0.494032768,0.67,,2.152395915161037,2.9190477971653386,0.1297594241333586,
qwen2.5:1.5b,95,2.205263157894737,0.7780947368421053,0.9661690549676881,0.0,0.07368421052631578,13.531263157894736,2235.178,22.17578947368421,13410.643157894738,2.45,2.0923076923076924,0.05117705263157894,0.05117705263157894,qwen2.5,Alibaba/Qwen,dense,instruct,Q4_K_M,1-2B,1-2B,False,False,True,Apache-2.0,1.543714304,1.25,32768.0,1.7642105263157895,1.4285435797158597,0.09944462904067974,43.090858978736364
qwen2.5:1.5b-instruct-q4_K_M,95,2.168421052631579,0.7780947368421053,0.8890902782936763,0.0,0.07368421052631578,17.331473684210525,3000.615263157895,17.11463157894737,17243.02210526316,2.3666666666666667,2.076923076923077,,0.09448684210526316,qwen2.5,Alibaba/Qwen,dense,instruct,Q4_K_M,1-2B,1-2B,False,False,False,Apache-2.0,1.543714304,1.25,,1.7347368421052631,1.4046776965225158,0.12669983824243952,
qwen2.5:1.5b-instruct-q8_0,95,2.142105263157895,0.7752842105263158,0.8802295333349041,0.0,0.042105263157894736,11.749263157894738,2009.1788421052631,24.362842105263155,19179.514736842106,2.2,2.1153846153846154,,0.12473221052631579,qwen2.5,Alibaba/Qwen,dense,instruct,Q8_0,1-2B,1-2B,False,False,False,Apache-2.0,1.543714304,1.91,,1.1215210801873796,1.387630637098699,0.08792509732249718,
qwen2.5:3b,95,2.8263157894736843,0.8065157894736842,1.038535233456727,0.0,0.12631578947368421,7.509368421052631,1231.9814736842106,41.79305263157895,14488.090526315791,3.1333333333333333,2.6846153846153844,0.09955252631578947,0.09955252631578947,qwen2.5,Alibaba/Qwen,dense,instruct,Q4_K_M,2-3B,2-3B,False,False,True,Apache-2.0,3.085938688,2.26,32768.0,1.2505822077317188,0.9158690678023231,0.06762645012769687,28.390196553208096
