model,action_safety,content_recall,det_score,quality,med_tokens,complete,log_tok
phi3:mini-128k,1.0,0.6033333333333334,0.6334000000000001,2.16,210.0,1.0,5.351858133476067
phi3:mini-4k,0.8666666666666667,0.5466666666666666,0.56668,2.255,325.0,1.0,5.786897381366708
phi4-mini,0.8666666666666667,0.53,0.55,2.46,185.5,1.0,5.2284312390838705
phi4-mini-reasoning,0.9333333333333333,0.6933333333333332,0.68336,2.46,512.0,0.97,6.240275845170769
qwen2-math:1.5b,0.7333333333333333,0.5733333333333334,0.54328,1.28,423.0,1.0,6.049733455231958
qwen2.5-coder:0.5b,0.9333333333333333,0.4633333333333334,0.57008,1.57,275.5,1.0,5.6222108209623896
qwen2.5-coder:1.5b,0.9333333333333333,0.49,0.5768,1.955,297.0,1.0,5.697093486505405
qwen2.5-coder:1.5b-instruct-q8_0,0.9333333333333333,0.5466666666666666,0.58008,1.92,233.0,1.0,5.455321115357702
qwen2.5-coder:3b,1.0,0.5733333333333334,0.6200399999999999,2.425,258.0,1.0,5.556828061699537
qwen2.5-coder:3b-instruct-q4_K_M,1.0,0.5733333333333334,0.6200399999999999,2.45,258.0,1.0,5.556828061699537
qwen2.5-coder:3b-instruct-q8_0,1.0,0.5866666666666667,0.64672,2.66,296.5,0.99,5.695414224985685
qwen2.5:0.5b,0.8,0.4633333333333334,0.49332,1.26,345.5,1.0,5.847882818629958
qwen2.5:0.5b-instruct-q4_K_M,0.8,0.4633333333333334,0.49332,1.265,345.5,1.0,5.847882818629958
qwen2.5:0.5b-instruct-q8_0,0.9333333333333333,0.5733333333333334,0.61,1.325,347.0,1.0,5.8522024797744745
qwen2.5:1.5b,0.8666666666666667,0.5966666666666667,0.59332,1.845,286.0,1.0,5.659482215759621
qwen2.5:1.5b-instruct-q4_K_M,0.8666666666666667,0.5966666666666667,0.59332,1.855,286.0,1.0,5.659482215759621
qwen2.5:1.5b-instruct-q8_0,1.0,0.65,0.68672,1.96,269.0,1.0,5.598421958998375
qwen2.5:3b,1.0,0.7,0.6934,2.485,312.5,1.0,5.7477993600729755
qwen2.5:3b-instruct-q4_K_M,1.0,0.7,0.6934,2.52,312.5,1.0,5.7477993600729755
qwen2.5:3b-instruct-q8_0,1.0,0.6766666666666667,0.6800400000000001,2.67,335.0,1.0,5.817111159963204
qwen2.5:7b,1.0,0.7033333333333333,0.71,3.08,199.5,0.94,5.300814246746624
qwen2:0.5b-instruct-q8_0,0.8,0.49333333333333335,0.55672,1.34,172.0,1.0,5.153291594497779
qwen2:1.5b,0.9333333333333333,0.49333333333333335,0.5267200000000001,1.595,126.5,1.0,4.848116364598481
qwen2:1.5b-instruct-q8_0,0.9333333333333333,0.43666666666666665,0.52008,1.705,134.0,1.0,4.90527477843843
qwen3.5:2b,0.8666666666666667,0.74,0.74332,2.28,285.5,1.0,5.6577385361547945
qwen3:0.6b,0.8,0.56,0.58668,1.775,134.0,1.0,4.90527477843843
qwen3:0.6b-fp16,0.8666666666666667,0.5333333333333333,0.6034,1.86,112.5,1.0,4.7318028369214575
qwen3:0.6b-q8_0,1.0,0.5633333333333334,0.6334000000000001,2.01,124.0,1.0,4.8283137373023015
qwen3:1.7b,1.0,0.6733333333333333,0.68664,2.63,143.0,1.0,4.969813299576001
qwen3:1.7b-fp16,1.0,0.6366666666666666,0.6766800000000001,2.82,167.5,1.0,5.126935749792416
qwen3:1.7b-q8_0,1.0,0.6666666666666667,0.68664,2.75,150.5,1.0,5.020585624949423
qwen3:4b,0.9333333333333333,0.73,0.69336,2.8,512.0,1.0,6.240275845170769
qwen3:4b-instruct-2507-q4_K_M,1.0,0.83,0.83664,3.36,225.0,1.0,5.420534999272286
qwen3:4b-instruct-2507-q8_0,1.0,0.85,0.8100400000000001,3.59,226.5,1.0,5.427150238391005
qwen3:4b-q8_0,1.0,0.77,0.7933199999999999,3.4,166.5,1.0,5.120983351265121
qwen3:4b-thinking-2507-q4_K_M,0.9333333333333333,0.73,0.69336,2.865,512.0,1.0,6.240275845170769
qwen3:4b-thinking-2507-q8_0,0.8666666666666667,0.6833333333333332,0.64672,3.035,512.0,0.99,6.240275845170769
