model,cluster,quality,safety,det_score,decode_tps,wall_s,quality_sd,trunc_rate,dnf_rate,size_gb,params_b
hf.co/Qwen/Qwen3-4B-GGUF:Q4_K_M,0,2.875,2.96,0.79034,5.460909090909091,103.9487,1.0525941979008553,0.93,0.01,3.32,4.022468096
hf.co/allenai/OLMo-2-0425-1B-Instruct-GGUF:Q4_K_M,1,1.695,1.7,0.72836,15.6336,26.897100000000002,0.6431260460524912,0.1,0.0,,1.0
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:IQ4_XS,2,2.385,2.32,0.74117,6.8085,25.2731,0.9343473928390075,0.0,0.0,,3.0
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q3_K_L,2,2.25,2.18,0.72099,7.1326,25.2144,0.8660254037844386,0.0,0.0,,3.0
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q5_K_M,2,2.52,2.3,0.73784,6.4382,29.086,1.014839391184137,0.0,0.0,,3.0
hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q6_K,2,2.42,2.24,0.77033,5.9675,29.656799999999997,1.0217829534888534,0.0,0.0,,3.0
hf.co/ggml-org/SmolLM3-3B-GGUF:Q4_K_M,2,2.245,2.12,0.7190000000000001,7.437157894736842,45.477399999999996,0.9003226133341359,0.07,0.0,,3.0
hf.co/ggml-org/SmolLM3-3B-GGUF:Q8_0,2,2.295,2.0,0.726,5.14659793814433,54.4165,0.8589840134446831,0.02,0.0,,3.0
hf.co/openbmb/MiniCPM3-4B-GGUF:Q4_K_M,2,2.315,2.46,0.65484,5.217878787878789,31.864,0.9838468099529244,0.0,0.01,,4.0
hf.co/tiiuae/Falcon-H1-0.5B-Instruct-GGUF:Q4_K_M,1,1.69,1.46,0.69435,28.2827,15.324100000000001,0.7377963366291772,0.15,0.0,,0.5
hf.co/tiiuae/Falcon-H1-1.5B-Deep-Instruct-GGUF:IQ4_XS,2,2.365,2.04,0.77684,10.345999999999998,41.109399999999994,0.9557243802002178,0.07,0.0,,1.5
hf.co/tiiuae/Falcon-H1-1.5B-Deep-Instruct-GGUF:Q4_K_M,2,2.39,2.2,0.76901,10.5787,39.2297,0.8807136683716031,0.07,0.0,,1.5
hf.co/tiiuae/Falcon-H1-3B-Instruct-GGUF:Q4_K_M,2,2.915,2.54,0.8371599999999999,6.7098,49.967600000000004,1.0051759984593682,0.01,0.0,,3.0
hf.co/unsloth/Llama-3.1-8B-Instruct-GGUF:Q4_K_M,0,3.06,2.78,0.79566,3.5701,47.1267,1.1574964275530097,0.0,0.0,,8.0
hf.co/unsloth/Llama-3.2-1B-Instruct-GGUF:Q4_K_M,1,1.615,1.84,0.6470100000000001,17.0678,7.9605999999999995,0.7242376695672506,0.0,0.0,1.09,1.235814432
hf.co/unsloth/Phi-4-mini-instruct-GGUF:Q4_K_M,2,2.49,2.18,0.7620100000000001,5.9803999999999995,41.896499999999996,0.9292660294745274,0.03,0.0,3.21,3.836021856
hf.co/unsloth/Qwen3-4B-GGUF:Q4_K_M,2,3.38,3.08,0.81667,5.9385,37.103699999999996,1.1373369569021106,0.0,0.0,3.32,4.022468096
internlm2:1.8b,1,1.49,1.36,0.59418,13.808172043010753,12.601500000000001,0.6395231809636762,0.03,0.0,1.68,1.889110016
internlm2:7b,0,2.525,2.32,0.80502,3.803421052631579,102.98700000000001,0.9464847243000454,0.01,0.24,,7.0
llama3.1:8b,0,3.035,2.6,0.79317,3.5744,43.0339,1.1376366606773762,0.0,0.0,,8.0
llama3.2:1b,1,1.645,1.46,0.61785,11.5229,11.385399999999999,0.7222824372722344,0.0,0.0,1.6,1.235814432
llama3.2:1b-instruct-q4_K_M,1,1.53,1.58,0.60952,16.4427,10.04,0.6956575263298702,0.01,0.0,,1.0
llama3.2:1b-instruct-q8_0,1,1.625,1.46,0.61785,11.833599999999999,11.1094,0.7155382236435379,0.0,0.0,1.6,1.235814432
llama3.2:3b,2,2.515,2.44,0.72051,7.3148,22.147100000000002,0.9884560964177692,0.0,0.0,2.67,3.212749888
llama3.2:3b-instruct-q4_K_M,2,2.435,2.34,0.72051,7.2494000000000005,22.322400000000002,0.9578358392488217,0.0,0.0,,3.0
llama3.2:3b-instruct-q8_0,2,2.5,2.24,0.7148300000000001,5.0667,31.4362,0.9587449708822043,0.0,0.0,4.07,3.212749888
ministral-3:3b,2,2.81,2.78,0.8411700000000001,5.8887,43.4816,1.1520293907586372,0.01,0.0,2.85,3.849090048
mistral:7b-instruct-q4_K_M,0,2.31,2.24,0.73116,3.7432,73.3497,1.0889249633273985,0.03,0.0,5.18,7.241732096
nemotron-mini:4b,1,1.66,1.76,0.6104999999999999,6.560600000000001,28.2073,0.6922368952836299,0.02,0.0,3.02,4.190509056
nemotron-mini:4b-instruct-q4_K_M,1,1.665,1.84,0.6104999999999999,6.5489999999999995,28.277399999999997,0.7387369783842712,0.02,0.0,3.02,4.190509056
nemotron-mini:4b-instruct-q8_0,2,1.745,1.74,0.6095,4.664848484848485,44.0138,0.8572183107722512,0.03,0.0,4.78,4.190509056
olmo2:7b,0,2.515,2.22,0.7631600000000001,3.762967032967033,75.9651,0.8179025898385739,0.0,0.09,,7.0
opencoder:1.5b,1,1.535,1.22,0.6896900000000001,9.8651,28.6807,0.708016863349934,0.02,0.0,,1.5
phi3.5:3.8b,2,2.395,2.38,0.75467,6.7324,57.3687,1.0132829931674687,0.24,0.0,4.04,3.821079648
phi3.5:3.8b-mini-instruct-q8_0,0,2.565,2.4,0.77751,4.283563218390805,84.3845,1.0016526747371468,0.07,0.13,5.93,3.821079648
phi3:3.8b,2,2.11,2.08,0.7363599999999999,6.891,42.031800000000004,0.8892739065147931,0.09,0.0,4.04,3.821079648
phi3:3.8b-mini-128k-instruct-q8_0,2,2.33,2.54,0.73884,4.352680412371134,47.76649999999999,0.9980283593468706,0.02,0.03,5.93,3.821079648
phi3:mini,2,2.18,2.12,0.7363599999999999,6.997999999999999,41.4561,0.9252900173251716,0.09,0.0,,
phi3:mini-128k,2,2.16,2.12,0.7363599999999999,6.9155999999999995,41.9005,0.8787042802451872,0.09,0.0,,
phi3:mini-4k,2,2.255,2.14,0.7061799999999999,6.1526,60.5732,1.0789421493371003,0.22,0.0,,
phi4-mini,2,2.46,2.32,0.7478400000000001,6.029399999999999,38.5503,1.0167287611439806,0.02,0.0,,3.836021856
phi4-mini-reasoning,0,2.46,2.34,0.81635,4.857731958762886,115.73559999999999,1.0652452650669115,0.92,0.03,,3.836021856
qwen2-math:1.5b,1,1.28,1.14,0.6495000000000001,14.4625,30.8686,0.5189344171404796,0.17,0.0,,1.5
qwen2.5-coder:0.5b,1,1.57,1.62,0.68404,25.1723,11.333499999999999,0.6780095646058172,0.07,0.0,,0.5
qwen2.5-coder:1.5b,2,1.955,2.04,0.71238,13.4719,22.7936,0.9642472334794266,0.04,0.0,1.25,1.543714304
qwen2.5-coder:1.5b-instruct-q8_0,2,1.92,1.94,0.7152,9.2174,30.898600000000002,0.8279218232747253,0.07,0.0,1.91,1.543714304
qwen2.5-coder:3b,2,2.425,2.48,0.74901,7.659199999999999,38.221599999999995,1.0307764064044154,0.04,0.0,2.26,3.085938688
qwen2.5-coder:3b-instruct-q4_K_M,2,2.45,2.48,0.74901,7.739299999999999,37.7889,1.0624442944398915,0.04,0.0,2.26,3.085938688
qwen2.5-coder:3b-instruct-q8_0,2,2.66,2.66,0.7930200000000001,5.234646464646465,60.6628,1.0845098506521813,0.02,0.01,3.62,3.085938688
qwen2.5:0.5b,1,1.26,1.18,0.59919,24.646900000000002,14.6249,0.4408440022768081,0.14,0.0,0.53,0.494032768
qwen2.5:0.5b-instruct-q4_K_M,1,1.265,1.22,0.59919,25.011,14.4344,0.45201568757973626,0.14,0.0,0.53,0.494032768
qwen2.5:0.5b-instruct-q8_0,1,1.325,1.38,0.66669,23.425900000000002,15.6318,0.4787135538781691,0.19,0.0,0.67,0.494032768
qwen2.5:1.5b,1,1.845,1.74,0.70851,13.269,23.378400000000003,0.7510766682677351,0.05,0.0,1.25,1.543714304
qwen2.5:1.5b-instruct-q4_K_M,1,1.855,1.7,0.70851,13.399000000000001,23.175300000000004,0.7497305913432901,0.05,0.0,1.25,1.543714304
qwen2.5:1.5b-instruct-q8_0,2,1.96,2.02,0.74318,9.5393,31.925900000000002,0.8277998098891575,0.06,0.0,1.91,1.543714304
qwen2.5:3b,2,2.485,2.5,0.7728499999999999,7.3687000000000005,45.0056,1.0309723761595362,0.07,0.0,2.26,3.085938688
qwen2.5:3b-instruct-q4_K_M,2,2.52,2.52,0.7728499999999999,7.7127,43.116400000000006,1.0272056829824856,0.07,0.0,2.26,3.085938688
qwen2.5:3b-instruct-q8_0,2,2.67,2.38,0.78551,5.130599999999999,68.1516,1.015585615009459,0.14,0.0,3.62,3.085938688
qwen2.5:7b,0,3.08,2.84,0.8326699999999999,3.734787234042553,67.8509,1.1230370079441376,0.0,0.06,5.22,7.615616512
qwen2:0.5b-instruct-q8_0,1,1.34,1.42,0.61819,24.073600000000003,8.9156,0.5406692448468216,0.02,0.0,0.67,0.494032768
qwen2:1.5b,1,1.595,1.52,0.58852,14.750499999999999,11.3568,0.7236795708130229,0.0,0.0,1.2,1.543714304
qwen2:1.5b-instruct-q8_0,1,1.705,1.76,0.6256900000000001,9.5726,18.1641,0.7490566457791151,0.0,0.0,1.91,1.543714304
qwen3.5:2b,2,2.28,2.32,0.82884,7.7094000000000005,42.4792,1.0033277962194938,0.1,0.0,,2.0
qwen3:0.6b,1,1.775,1.84,0.6805100000000001,26.2069,6.9326,0.7666501974515662,0.01,0.0,1.09,0.751632384
qwen3:0.6b-fp16,1,1.86,1.8,0.69435,13.048,12.300899999999999,0.8441121089791646,0.01,0.0,2.07,0.751632384
qwen3:0.6b-q8_0,1,2.01,1.9,0.6781900000000001,20.1964,8.2784,0.8875684637129566,0.0,0.0,1.4,0.751632384
qwen3:1.7b,2,2.63,2.8,0.74383,12.15,15.388799999999998,1.131772543804227,0.01,0.0,1.97,2.031739904
qwen3:1.7b-fp16,2,2.82,2.78,0.76767,5.231599999999999,34.1582,1.1470647652846702,0.0,0.0,4.68,2.031739904
qwen3:1.7b-q8_0,2,2.75,2.58,0.76166,8.6222,21.6608,1.160154987904459,0.0,0.0,2.83,2.031739904
qwen3:4b,0,2.8,3.02,0.82785,5.5561,102.5183,0.9265990819042822,1.0,0.0,3.32,4.022468096
qwen3:4b-instruct-2507-q4_K_M,2,3.36,3.1,0.8811599999999999,5.8771,43.6125,1.0566767039003262,0.01,0.0,3.32,4.022468096
qwen3:4b-instruct-2507-q8_0,0,3.59,3.66,0.87901,3.9312,62.101400000000005,1.0995407673160182,0.0,0.0,5.1,4.022468096
qwen3:4b-q8_0,0,3.4,3.02,0.8468300000000001,3.9436,53.4169,1.02247471629109,0.0,0.0,5.19,4.022468096
qwen3:4b-thinking-2507-q4_K_M,0,2.865,3.04,0.82785,5.5097000000000005,103.36370000000001,0.9714484655462282,1.0,0.0,,4.0
qwen3:4b-thinking-2507-q8_0,0,3.035,3.46,0.8096899999999999,3.8274747474747475,147.8314,0.8968378793395059,0.99,0.01,,4.0
qwen3:8b,0,3.51,3.08,0.8425100000000001,3.3642424242424243,62.804899999999996,1.2185021439240373,0.0,0.01,,8.0
sailor2:1b,1,1.22,1.26,0.65318,14.236868686868688,24.4711,0.42235510933791065,0.07,0.01,,1.0
smallthinker:3b-preview-q4_K_M,0,2.47,2.56,0.78319,7.3197,75.181,0.8814015468948799,0.66,0.0,,3.0
smollm2:1.7b,1,1.835,1.78,0.6600400000000001,8.7685,20.7698,0.748921783889238,0.03,0.0,2.82,1.711376384
smollm2:1.7b-instruct-q8_0,1,1.85,1.84,0.6600400000000001,8.6714,20.989099999999997,0.7470480627649123,0.03,0.0,2.82,1.711376384
smollm2:135m,1,1.095,1.14,0.48001,43.9195,5.652,0.3232958428749154,0.05,0.0,0.41,0.134515008
smollm2:135m-instruct-q8_0,1,1.095,1.1,0.46155,64.4798,3.8120999999999996,0.33101466292402676,0.06,0.0,0.29,0.134515008
smollm2:360m,1,1.345,1.6,0.54255,19.9025,7.891699999999999,0.7095844565730715,0.02,0.0,0.96,0.36182112
smollm2:360m-instruct-q8_0,1,1.265,1.5,0.54199,30.5257,5.5149,0.5705526295008227,0.06,0.0,0.62,0.36182112
smollm:1.7b,1,1.215,1.46,0.5412,12.5007,30.710900000000002,0.4508969736071432,0.25,0.0,1.27,1.711376384
smollm:360m,1,1.065,1.26,0.50168,39.4138,11.708,0.2900278635168725,0.3,0.0,0.3,0.36182112
stablelm2:1.6b,1,1.385,1.38,0.65437,14.1323,23.9104,0.5263510753721842,0.04,0.0,1.46,1.644515328
stablelm2:1.6b-chat,1,1.38,1.4,0.65437,14.1401,23.9186,0.5510320894796996,0.04,0.0,1.46,1.644515328
stablelm2:1.6b-zephyr,1,1.415,1.24,0.6220300000000001,14.304300000000001,18.7371,0.6437539840025784,0.05,0.0,1.46,1.644515328
starcoder2:3b,1,1.02,1.02,0.48547000000000007,8.045360824742268,54.3548,0.09847319278346618,0.57,0.01,,3.0
starcoder2:3b-q6_K,1,1.105,1.18,0.48631,6.001224489795918,73.24380000000001,0.36442150087917463,0.59,0.0,,3.0
starcoder2:3b-q8_0,1,1.055,1.0,0.49833,5.113645833333334,81.4122,0.2649089799851407,0.51,0.02,,3.0
tinyllama:1.1b,1,1.285,1.26,0.6598999999999999,20.5737,15.3519,0.533025479331112,0.1,0.0,0.71,1.100048384
tinyllama:1.1b-chat-v1-q8_0,1,1.41,1.5,0.7196899999999999,13.085799999999999,25.1192,0.6251464474889711,0.14,0.0,1.24,1.100048384
yi-coder:1.5b,1,1.58,1.48,0.6818500000000001,15.788599999999999,22.035999999999998,0.7061061241667989,0.04,0.0,,1.5
