model,quality,ci_lo,ci_hi,det,rank
hf.co/LiquidAI/LFM2-350M-GGUF:Q4_K_M,1.3250000000000002,1.21,1.4500000000000002,0.65951,134
qwen2.5:0.5b-instruct-q8_0,1.325,1.2149999999999999,1.45,0.66669,135
tinyllama:1.1b,1.285,1.1400000000000001,1.45,0.6599000000000002,136
qwen2-math:1.5b,1.28,1.1450000000000002,1.43,0.6495,137
gemma3:270m,1.2799999999999998,1.11,1.48,0.46085000000000004,138
smollm2:360m-instruct-q8_0,1.2650000000000001,1.1400000000000001,1.445,0.54199,139
qwen2.5:0.5b-instruct-q4_K_M,1.2650000000000001,1.1600000000000001,1.3800000000000003,0.5991900000000001,140
qwen2.5:0.5b,1.2600000000000002,1.165,1.365,0.5991900000000001,141
gemma3:270m-it-qat,1.245,1.1099999999999999,1.41,0.51503,142
codegemma:2b-code-q6_K,1.235,1.085,1.465,0.41715,143
sailor2:1b,1.2200000000000002,1.0950000000000002,1.365,0.6531800000000001,144
smollm:1.7b,1.215,1.085,1.4000000000000001,0.5412000000000001,145
starcoder2:3b-q6_K,1.105,1.0399999999999998,1.1800000000000002,0.48631000000000013,146
smollm2:135m-instruct-q8_0,1.0950000000000002,1.04,1.1600000000000001,0.46155,147
smollm2:135m,1.095,1.04,1.1549999999999998,0.48000999999999994,148
codegemma:2b,1.0699999999999998,1.02,1.1300000000000001,0.5299900000000001,149
smollm:360m,1.065,1.0,1.175,0.50168,150
starcoder2:3b-q8_0,1.055,1.01,1.1099999999999999,0.4983299999999999,151
starcoder2:3b,1.02,1.0050000000000001,1.0400000000000003,0.48547,152
