model,family,org,arch_class,training_regime,thinking_capable,tools_capable,native_ctx,license,base_lineage,param_count,param_size,quant,size_gb,is_moe,bracket
phi3:3.8b,phi3,Microsoft,dense,instruct,False,False,,MIT,n/a,3821079648,3.8B,Q4_0,4.04,False,3-4B
phi3:3.8b-mini-128k-instruct-q8_0,phi3,Microsoft,dense,instruct,False,False,,MIT,n/a,3821079648,3.8B,Q8_0,5.93,False,3-4B
phi4-mini-reasoning,phi4-mini-reasoning,Microsoft,dense,reasoning,False,False,,MIT,n/a,3836021856,3.8B,Q4_K_M,,False,3-4B
qwen2.5-coder:1.5b,qwen2.5-coder,Alibaba/Qwen,dense,code/math,False,False,,Apache-2.0,n/a,1543714304,1.5B,Q4_K_M,1.25,False,1-2B
qwen2.5-coder:1.5b-instruct-q8_0,qwen2.5-coder,Alibaba/Qwen,dense,code/math,False,False,,Apache-2.0,n/a,1543714304,1.5B,Q8_0,1.91,False,1-2B
qwen2.5-coder:3b,qwen2.5-coder,Alibaba/Qwen,dense,code/math,False,False,,Apache-2.0,n/a,3085938688,3.1B,Q4_K_M,2.26,False,2-3B
qwen2.5-coder:3b-instruct-q4_K_M,qwen2.5-coder,Alibaba/Qwen,dense,code/math,False,False,,Apache-2.0,n/a,3085938688,3.1B,Q4_K_M,2.26,False,2-3B
qwen2.5-coder:3b-instruct-q8_0,qwen2.5-coder,Alibaba/Qwen,dense,code/math,False,False,,Apache-2.0,n/a,3085938688,3.1B,Q8_0,3.62,False,2-3B
qwen2.5:0.5b-instruct-q4_K_M,qwen2.5,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,494032768,494.03M,Q4_K_M,0.53,False,0-1B
qwen2.5:0.5b-instruct-q8_0,qwen2.5,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,494032768,494.03M,Q8_0,0.67,False,0-1B
qwen2.5:1.5b-instruct-q4_K_M,qwen2.5,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,1543714304,1.5B,Q4_K_M,1.25,False,1-2B
qwen2.5:1.5b-instruct-q8_0,qwen2.5,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,1543714304,1.5B,Q8_0,1.91,False,1-2B
qwen2.5:3b-instruct-q4_K_M,qwen2.5,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,3085938688,3.1B,Q4_K_M,2.26,False,2-3B
qwen2.5:3b-instruct-q8_0,qwen2.5,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,3085938688,3.1B,Q8_0,3.62,False,2-3B
qwen2:0.5b-instruct-q8_0,qwen2,Alibaba/Qwen,dense,instruct,False,False,32768.0,Apache-2.0,n/a,494032768,494.03M,Q8_0,0.67,False,0-1B
qwen2:1.5b,qwen2,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,1543714304,1.5B,Q4_0,1.2,False,1-2B
qwen2:1.5b-instruct-q8_0,qwen2,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,1543714304,1.5B,Q8_0,1.91,False,1-2B
qwen3:0.6b-fp16,qwen3,Alibaba/Qwen,dense,instruct,True,True,40960.0,Apache-2.0,n/a,751632384,751.63M,F16,2.07,False,0-1B
qwen3:0.6b-q8_0,qwen3,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,751632384,751.63M,Q8_0,1.4,False,0-1B
qwen3:1.7b-fp16,qwen3,Alibaba/Qwen,dense,instruct,True,True,40960.0,Apache-2.0,n/a,2031739904,2.0B,F16,4.68,False,1-2B
qwen3:1.7b-q8_0,qwen3,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,2031739904,2.0B,Q8_0,2.83,False,1-2B
qwen3:4b-q8_0,qwen3,Alibaba/Qwen,dense,instruct,False,False,,Apache-2.0,n/a,4022468096,4.0B,Q8_0,5.19,False,3-4B
smollm2:1.7b-instruct-q8_0,smollm2,Hugging Face,dense,instruct,False,False,,Apache-2.0,n/a,1711376384,1.7B,Q8_0,2.82,False,1-2B
smollm2:135m,smollm2,Hugging Face,dense,instruct,False,False,,Apache-2.0,n/a,134515008,134.52M,F16,0.41,False,0-1B
smollm2:135m-instruct-q8_0,smollm2,Hugging Face,dense,instruct,False,False,,Apache-2.0,n/a,134515008,134.52M,Q8_0,0.29,False,0-1B
smollm2:360m-instruct-q8_0,smollm2,Hugging Face,dense,instruct,False,False,,Apache-2.0,n/a,361821120,361.82M,Q8_0,0.62,False,0-1B
smollm:1.7b,smollm,Hugging Face,dense,instruct,False,False,,Apache-2.0,n/a,1711376384,1.7B,Q4_0,1.27,False,1-2B
smollm:360m,smollm,Hugging Face,dense,instruct,False,False,,Apache-2.0,n/a,361821120,361.82M,Q4_0,0.3,False,0-1B
stablelm2:1.6b-chat,stablelm2,Stability AI,dense,instruct,False,False,,STABILITY-Community(check),n/a,1644515328,2B,Q4_0,1.46,False,1-2B
stablelm2:1.6b-zephyr,stablelm2,Stability AI,dense,instruct,False,False,4096.0,STABILITY-Community(check),n/a,1644515328,2B,Q4_0,1.46,False,1-2B
tinyllama:1.1b,tinyllama,TinyLlama (community),dense,instruct,False,False,,Apache-2.0,Llama-2 arch,1100048384,1B,Q4_0,0.71,False,0-1B
tinyllama:1.1b-chat-v1-q8_0,tinyllama,TinyLlama (community),dense,instruct,False,False,,Apache-2.0,Llama-2 arch,1100048384,1B,Q8_0,1.24,False,0-1B
