model,bracket,scenario,rep,det_score,decode_tok_s,wall_s,dnf,finish_reason
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-15-pvc-pressure,0,1.0,4.02,50.93,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-15-pvc-pressure,1,1.0,3.99,53.55,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-15-pvc-pressure,2,1.0,4.01,48.4,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-15-pvc-pressure,3,1.0,4.01,48.37,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-15-pvc-pressure,4,1.0,3.98,60.52,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-16-smart-prefail,0,1.0,3.98,63.37,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-16-smart-prefail,1,1.0,4.01,40.61,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-16-smart-prefail,2,1.0,3.99,46.27,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-16-smart-prefail,3,1.0,4.0,43.19,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-16-smart-prefail,4,1.0,4.01,41.14,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-17-cert-expiry,0,1.0,3.93,84.45,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-17-cert-expiry,1,1.0,3.93,73.17,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-17-cert-expiry,2,1.0,3.95,62.19,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-17-cert-expiry,3,1.0,3.94,68.41,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,foresee-17-cert-expiry,4,1.0,3.94,69.01,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,upgrade-18-helm-closedbook,0,0.75,3.91,109.76,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,upgrade-18-helm-closedbook,1,0.75,3.88,123.67,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,upgrade-18-helm-closedbook,2,1.0,3.9,112.6,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,upgrade-18-helm-closedbook,3,1.0,3.89,115.84,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,upgrade-18-helm-closedbook,4,1.0,3.88,125.8,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,expand-19-add-app-closedbook,0,0.6,4.02,51.51,False,stop
qwen3:4b-instruct-2507-q8_0,4-5GB,expand-19-add-app-closedbook,1,1.0,4.01,50.37,False,stop
