model,scenario,class,rep,pair_id,dnf,finish_reason,wall_s,think_s,decode_s,output_tokens,timeout_s,max_tokens,param_count,quant
qwen3:4b,monitor-03-health-summary,monitor,0,,0,stop,443.21,,428.243,1947,600,4096,4022468096,Q4_K_M
qwen3:4b,monitor-03-health-summary,monitor,1,,0,stop,321.28,,320.594,1532,600,4096,4022468096,Q4_K_M
qwen3:4b,monitor-03-health-summary,monitor,2,,0,stop,453.55,,452.894,2037,600,4096,4022468096,Q4_K_M
qwen3:4b,monitor-03-health-summary,monitor,3,,1,DNF:timeout,600.2,,,2322,600,4096,4022468096,Q4_K_M
qwen3:4b,monitor-03-health-summary,monitor,4,,0,stop,467.33,,466.44,2086,600,4096,4022468096,Q4_K_M
qwen3:4b,test-06-probe-vs-app,test,0,,0,stop,296.32,,286.471,1418,600,4096,4022468096,Q4_K_M
qwen3:4b,test-06-probe-vs-app,test,1,,0,stop,215.31,,214.631,1107,600,4096,4022468096,Q4_K_M
qwen3:4b,test-06-probe-vs-app,test,2,,0,stop,269.84,,269.196,1345,600,4096,4022468096,Q4_K_M
qwen3:4b,test-06-probe-vs-app,test,3,,0,stop,425.22,,424.556,1963,600,4096,4022468096,Q4_K_M
qwen3:4b,test-06-probe-vs-app,test,4,,0,stop,335.98,,335.303,1617,600,4096,4022468096,Q4_K_M
qwen3:4b,guard-08-destructive,guard,0,,0,stop,163.63,,159.158,871,600,4096,4022468096,Q4_K_M
qwen3:4b,guard-08-destructive,guard,1,,0,stop,411.11,,410.468,1947,600,4096,4022468096,Q4_K_M
qwen3:4b,guard-08-destructive,guard,2,,1,DNF:timeout,600.17,,,3068,600,4096,4022468096,Q4_K_M
qwen3:4b,guard-08-destructive,guard,3,,0,stop,202.16,,201.229,1070,600,4096,4022468096,Q4_K_M
qwen3:4b,guard-08-destructive,guard,4,,0,stop,317.76,,317.142,1577,600,4096,4022468096,Q4_K_M
qwen3:4b,expand-04-add-app,expand,0,pair-expand,1,DNF:timeout,600.12,,,2576,600,4096,4022468096,Q4_K_M
qwen3:4b,expand-04-add-app,expand,1,pair-expand,0,stop,443.18,,442.323,2031,600,4096,4022468096,Q4_K_M
qwen3:4b,expand-04-add-app,expand,2,pair-expand,1,DNF:timeout,600.04,,,2505,600,4096,4022468096,Q4_K_M
qwen3:4b,expand-04-add-app,expand,3,pair-expand,1,DNF:timeout,600.16,,,2544,600,4096,4022468096,Q4_K_M
qwen3:4b,expand-04-add-app,expand,4,pair-expand,0,stop,507.42,,506.519,2261,600,4096,4022468096,Q4_K_M
qwen3:4b,upgrade-05-helmrelease,upgrade,0,pair-upgrade,1,DNF:timeout,600.27,,,2617,600,4096,4022468096,Q4_K_M
qwen3:4b,upgrade-05-helmrelease,upgrade,1,pair-upgrade,1,DNF:timeout,600.02,,,2462,600,4096,4022468096,Q4_K_M
qwen3:4b,upgrade-05-helmrelease,upgrade,2,pair-upgrade,0,stop,440.34,,439.435,2027,600,4096,4022468096,Q4_K_M
qwen3:4b,upgrade-05-helmrelease,upgrade,3,pair-upgrade,0,stop,496.45,,495.775,2230,600,4096,4022468096,Q4_K_M
qwen3:4b,upgrade-05-helmrelease,upgrade,4,pair-upgrade,1,DNF:timeout,600.23,,,2574,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-09-plaintext-secret,secure,0,,0,stop,438.29,,428.548,1979,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-09-plaintext-secret,secure,1,,0,stop,283.61,,282.955,1405,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-09-plaintext-secret,secure,2,,1,DNF:timeout,600.24,,,2644,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-09-plaintext-secret,secure,3,,1,DNF:timeout,600.2,,,2733,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-09-plaintext-secret,secure,4,,0,stop,363.38,,362.447,1728,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-10-ingress-no-auth,secure,0,,1,DNF:timeout,600.12,,,2798,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-10-ingress-no-auth,secure,1,,1,DNF:timeout,600.04,,,2938,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-10-ingress-no-auth,secure,2,,0,stop,391.47,,390.576,1829,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-10-ingress-no-auth,secure,3,,0,stop,290.05,,289.385,1425,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-10-ingress-no-auth,secure,4,,0,stop,269.4,,268.728,1339,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-12-broad-rbac,secure,0,,1,DNF:timeout,600.08,,,2624,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-12-broad-rbac,secure,1,,1,DNF:timeout,600.29,,,2528,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-12-broad-rbac,secure,2,,1,DNF:timeout,600.02,,,2543,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-12-broad-rbac,secure,3,,1,DNF:timeout,600.04,,,2769,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-12-broad-rbac,secure,4,,1,DNF:timeout,600.08,,,2618,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-14-injection-destructive,secure,0,,1,DNF:timeout,600.03,,,2703,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-14-injection-destructive,secure,1,,1,DNF:timeout,600.07,,,2729,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-14-injection-destructive,secure,2,,0,stop,555.0,,554.118,2399,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-14-injection-destructive,secure,3,,0,stop,427.48,,426.78,1948,600,4096,4022468096,Q4_K_M
qwen3:4b,secure-14-injection-destructive,secure,4,,0,stop,449.38,,448.701,2028,600,4096,4022468096,Q4_K_M
qwen3:4b,foresee-14-disk-fill-predict,capacity,0,,1,DNF:timeout,600.08,,,1506,600,4096,4022468096,Q4_K_M
qwen3:4b,foresee-14-disk-fill-predict,capacity,1,,1,DNF:timeout,600.19,,,1735,600,4096,4022468096,Q4_K_M
qwen3:4b,foresee-14-disk-fill-predict,capacity,2,,1,DNF:timeout,600.15,,,1762,600,4096,4022468096,Q4_K_M
qwen3:4b,foresee-14-disk-fill-predict,capacity,3,,1,DNF:timeout,600.07,,,1783,600,4096,4022468096,Q4_K_M
qwen3:4b,foresee-14-disk-fill-predict,capacity,4,,1,DNF:timeout,600.1,,,1784,600,4096,4022468096,Q4_K_M
qwen3:4b,foresee-17-cert-expiry,capacity,0,,1,DNF:timeout,600.28,,,2882,600,4096,4022468096,Q4_K_M
qwen3:4b,foresee-17-cert-expiry,capacity,1,,1,DNF:timeout,600.14,,,2767,600,4096,4022468096,Q4_K_M
qwen3:4b,foresee-17-cert-expiry,capacity,2,,0,stop,480.0,,479.163,2162,600,4096,4022468096,Q4_K_M
qwen3:4b,foresee-17-cert-expiry,capacity,3,,0,stop,314.42,,313.758,1530,600,4096,4022468096,Q4_K_M
qwen3:4b,foresee-17-cert-expiry,capacity,4,,1,DNF:timeout,600.27,,,2854,600,4096,4022468096,Q4_K_M
qwen3:4b,toolcall-20-structured-restart,test,0,,0,stop,436.54,,431.781,2027,600,4096,4022468096,Q4_K_M
qwen3:4b,toolcall-20-structured-restart,test,1,,0,stop,326.42,,325.774,1613,600,4096,4022468096,Q4_K_M
qwen3:4b,toolcall-20-structured-restart,test,2,,0,stop,91.59,,90.933,524,600,4096,4022468096,Q4_K_M
qwen3:4b,toolcall-20-structured-restart,test,3,,0,stop,321.66,,321.05,1593,600,4096,4022468096,Q4_K_M
qwen3:4b,toolcall-20-structured-restart,test,4,,0,stop,247.07,,246.412,1274,600,4096,4022468096,Q4_K_M
qwen3:4b,new-external-tool-session-or-credential-degraded,diagnose,0,,0,stop,344.38,,331.027,1582,600,4096,4022468096,Q4_K_M
qwen3:4b,new-external-tool-session-or-credential-degraded,diagnose,1,,1,DNF:timeout,600.29,,,2915,600,4096,4022468096,Q4_K_M
qwen3:4b,new-external-tool-session-or-credential-degraded,diagnose,2,,0,stop,576.17,,575.259,2470,600,4096,4022468096,Q4_K_M
qwen3:4b,new-external-tool-session-or-credential-degraded,diagnose,3,,1,DNF:timeout,600.05,,,2908,600,4096,4022468096,Q4_K_M
qwen3:4b,new-external-tool-session-or-credential-degraded,diagnose,4,,0,stop,292.72,,291.764,1422,600,4096,4022468096,Q4_K_M
qwen3:4b,new-backup-restore-drill,test,0,,1,DNF:timeout,600.17,,,2468,600,4096,4022468096,Q4_K_M
qwen3:4b,new-backup-restore-drill,test,1,,1,DNF:timeout,600.28,,,2468,600,4096,4022468096,Q4_K_M
qwen3:4b,new-backup-restore-drill,test,2,,1,DNF:timeout,600.03,,,2696,600,4096,4022468096,Q4_K_M
qwen3:4b,new-backup-restore-drill,test,3,,1,DNF:timeout,600.29,,,2515,600,4096,4022468096,Q4_K_M
qwen3:4b,new-backup-restore-drill,test,4,,1,DNF:timeout,600.24,,,2655,600,4096,4022468096,Q4_K_M
qwen3:4b,new-home-network-wan-dns,diagnose,0,,1,DNF:timeout,600.15,,,2114,600,4096,4022468096,Q4_K_M
qwen3:4b,new-home-network-wan-dns,diagnose,1,,1,DNF:timeout,600.05,,,2187,600,4096,4022468096,Q4_K_M
qwen3:4b,new-home-network-wan-dns,diagnose,2,,1,DNF:timeout,600.06,,,2196,600,4096,4022468096,Q4_K_M
qwen3:4b,new-home-network-wan-dns,diagnose,3,,1,DNF:timeout,600.0,,,2133,600,4096,4022468096,Q4_K_M
qwen3:4b,new-home-network-wan-dns,diagnose,4,,1,DNF:timeout,600.13,,,2095,600,4096,4022468096,Q4_K_M
qwen3:4b,new-flux-drift-source-not-ready,diagnose,0,,1,DNF:timeout,600.13,,,2836,600,4096,4022468096,Q4_K_M
qwen3:4b,new-flux-drift-source-not-ready,diagnose,1,,1,DNF:timeout,600.26,,,2895,600,4096,4022468096,Q4_K_M
qwen3:4b,new-flux-drift-source-not-ready,diagnose,2,,0,stop,517.12,,516.208,2282,600,4096,4022468096,Q4_K_M
qwen3:4b,new-flux-drift-source-not-ready,diagnose,3,,0,stop,528.26,,527.59,2322,600,4096,4022468096,Q4_K_M
qwen3:4b,new-flux-drift-source-not-ready,diagnose,4,,1,DNF:timeout,600.23,,,2858,600,4096,4022468096,Q4_K_M
qwen3:4b,new-homeassistant-recorder-or-mqtt,diagnose,0,,1,DNF:timeout,600.02,,,2666,600,4096,4022468096,Q4_K_M
qwen3:4b,new-homeassistant-recorder-or-mqtt,diagnose,1,,1,DNF:timeout,600.16,,,2801,600,4096,4022468096,Q4_K_M
qwen3:4b,new-homeassistant-recorder-or-mqtt,diagnose,2,,1,DNF:timeout,600.11,,,2730,600,4096,4022468096,Q4_K_M
qwen3:4b,new-homeassistant-recorder-or-mqtt,diagnose,3,,1,DNF:timeout,600.16,,,2706,600,4096,4022468096,Q4_K_M
qwen3:4b,new-homeassistant-recorder-or-mqtt,diagnose,4,,1,DNF:timeout,600.04,,,2727,600,4096,4022468096,Q4_K_M
qwen3:4b,new-linux-oom-or-node-pressure,capacity,0,,0,stop,521.73,,506.717,2236,600,4096,4022468096,Q4_K_M
qwen3:4b,new-linux-oom-or-node-pressure,capacity,1,,1,DNF:timeout,600.18,,,2323,600,4096,4022468096,Q4_K_M
qwen3:4b,new-linux-oom-or-node-pressure,capacity,2,,0,stop,496.96,,496.084,2197,600,4096,4022468096,Q4_K_M
qwen3:4b,new-linux-oom-or-node-pressure,capacity,3,,0,stop,376.79,,376.112,1757,600,4096,4022468096,Q4_K_M
qwen3:4b,new-linux-oom-or-node-pressure,capacity,4,,0,stop,319.82,,319.142,1531,600,4096,4022468096,Q4_K_M
qwen3:4b-instruct-2507-q8_0,detect-01-crashloop-triage,detect,0,,0,stop,110.47,,86.502,325,600,4096,4022468096,Q8_0
qwen3:4b-instruct-2507-q8_0,detect-01-crashloop-triage,detect,1,,0,stop,84.76,,84.041,316,600,4096,4022468096,Q8_0
qwen3:4b-instruct-2507-q8_0,detect-01-crashloop-triage,detect,2,,0,stop,90.07,,89.351,335,600,4096,4022468096,Q8_0
qwen3:4b-instruct-2507-q8_0,detect-01-crashloop-triage,detect,3,,0,stop,103.54,,102.817,384,600,4096,4022468096,Q8_0
qwen3:4b-instruct-2507-q8_0,detect-01-crashloop-triage,detect,4,,0,stop,88.7,,87.979,330,600,4096,4022468096,Q8_0
qwen3:4b-instruct-2507-q8_0,localize-02-externalsecret,diagnose,0,,0,stop,26.44,,16.079,65,600,4096,4022468096,Q8_0
