== 25 models x 19 scenarios ==
== idle power baseline: 0.6 W ==
[0-1B] qwen2.5:0.5b  warmup=1.71s  (R=1, temp=0.0)
    expand-04-add-app            r0 det=4/4 8.46tok/s 37.54s stop
    upgrade-05-helmrelease       r0 det=3/4 9.27tok/s 28.17s stop
    test-06-probe-vs-app         r0 det=3/3 8.76tok/s 26.22s stop
    augment-07-events-to-json    r0 det=4/5 8.79tok/s 28.17s stop
    guard-08-destructive         r0 det=2/4 9.86tok/s 8.99s stop
    secure-09-plaintext-secret   r0 det=3/4 9.62tok/s 18.24s stop
    secure-10-ingress-no-auth    r0 det=2/3 8.5tok/s 42.69s stop
    secure-11-privileged-container r0 det=3/3 8.64tok/s 28.45s stop
    secure-12-broad-rbac         r0 det=3/3 8.78tok/s 23.83s stop
    secure-13-latest-tag         r0 det=3/3 8.9tok/s 26.46s stop
    foresee-14-disk-fill-predict r0 det=3/4 8.76tok/s 40.04s stop
    foresee-15-pvc-pressure      r0 det=4/4 8.71tok/s 20.77s stop
    foresee-16-smart-prefail     r0 det=3/4 8.76tok/s 35.86s stop
    foresee-17-cert-expiry       r0 det=5/5 8.96tok/s 33.81s stop
    upgrade-18-helm-closedbook   r0 det=2/4 8.79tok/s 34.73s stop
    expand-19-add-app-closedbook r0 det=3/5 8.75tok/s 53.25s stop
[2-3B] qwen2.5:3b  warmup=5.03s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=3/3 9.88tok/s 34.1s stop
    localize-02-externalsecret   r0 det=3/3 9.83tok/s 16.85s stop
    monitor-03-health-summary    r0 det=4/4 10.36tok/s 20.32s stop
    expand-04-add-app            r0 det=3/4 9.66tok/s 67.45s length
    upgrade-05-helmrelease       r0 det=3/4 9.95tok/s 64.31s length
    test-06-probe-vs-app         r0 det=3/3 10.01tok/s 55.43s length
    augment-07-events-to-json    r0 det=3/5 10.36tok/s 18.05s stop
    guard-08-destructive         r0 det=3/4 10.0tok/s 8.32s stop
    secure-09-plaintext-secret   r0 det=2/4 9.84tok/s 14.25s stop
